Source,Target,Type,Weight
1128106701452759045,2,Undirected,14.636826663108957
1126989842506584064,1,Undirected,6.127999117171522
1127066498294403073,2,Undirected,14.636826663108957
1127892996475707392,5,Undirected,1.3479488596967883
1130414688406106112,3,Undirected,4.098278090364947
1129719651686944769,1,Undirected,1.3704452097331414
1127382736841265153,3,Undirected,4.098278090364947
1128571055440707585,1,Undirected,6.127999117171522
1129571595213713408,2,Undirected,14.636826663108957
1129152673888866304,6,Undirected,0.12191714101623216
1128862010790146049,5,Undirected,0.5501454461084833
1129242363006636032,3,Undirected,4.098278090364947
1129873478088155136,3,Undirected,4.098278090364947
1130320776656113664,2,Undirected,14.636826663108957
1130241251003908098,3,Undirected,0.41118912179815237
1127703359346040832,3,Undirected,4.098278090364947
1127373123584577537,5,Undirected,0.5501454461084833
1128775111429935104,1,Undirected,1.1251658789090646
1129222250949775360,5,Undirected,0.5501454461084833
1129683879227301888,3,Undirected,4.098278090364947
1129576760205463552,7,Undirected,7.834177336928962
1128242665210802176,5,Undirected,1.3312081526587605
1130362877594890242,1,Undirected,6.127999117171522
1126967698817085440,3,Undirected,4.098278090364947
1128958834238615552,3,Undirected,4.098278090364947
1129139037711740928,6,Undirected,0.12191714101623216
1130241013576900608,6,Undirected,0.4208612417223205
1128568861744193536,3,Undirected,4.098278090364947
1129727918744264704,2,Undirected,14.636826663108957
1129648185146654722,3,Undirected,4.098278090364947
1129712507449294848,5,Undirected,0.27952747677881135
1130330589364596737,2,Undirected,14.636826663108957
1129717019236954112,3,Undirected,1.5878602201285048
1130301052044103680,6,Undirected,0.3647513010863849
1129698931560943616,5,Undirected,1.3479488596967883
1129595205986922496,2,Undirected,14.636826663108957
1127469995615670273,5,Undirected,1.3479488596967883
1128824896874733568,7,Undirected,7.834177336928962
1129284214862434305,3,Undirected,3.8662802353197816
1130332900136669184,2,Undirected,14.636826663108957
1130081274008285184,6,Undirected,0.453012914009906
1129680752809955328,2,Undirected,14.636826663108957
1129701984108290048,3,Undirected,4.098278090364947
1129154064334241792,5,Undirected,1.3459619781590562
1127421402947055616,3,Undirected,4.835612821897758
1129866503388450816,5,Undirected,0.5501454461084833
1128129704144228352,4,Undirected,1.986788642894781
1128877049798582272,5,Undirected,1.3479488596967883
1128814820801753088,1,Undirected,0.8285751123809577
1129710159842856960,5,Undirected,1.2646627492355482
1127764694112948224,5,Undirected,1.3479488596967883
1129758477793026054,2,Undirected,14.636826663108957
1129554389012688896,6,Undirected,0.3263763825193195
1128430563067514880,5,Undirected,1.3479488596967883
1128519491678347264,6,Undirected,0.4208612417223205
1129216678510727169,2,Undirected,14.636826663108957
1129668848980901888,5,Undirected,1.3479488596967883
1128930510674128896,2,Undirected,0.17114695547141173
1129999157417074688,3,Undirected,4.098278090364947
1127504647504027648,3,Undirected,3.6873730177990773
1127002387225268224,5,Undirected,0.21907868991983337
1128409766835785729,5,Undirected,0.21907868991983337
