Source,Target,Type
1128106701452759045,11,Undirected
1126989842506584064,10,Undirected
1127066498294403073,10,Undirected
1127892996475707392,11,Undirected
1130414688406106112,11,Undirected
1129719651686944769,11,Undirected
1127382736841265153,11,Undirected
1128571055440707585,13,Undirected
1129571595213713408,10,Undirected
1129152673888866304,14,Undirected
1128862010790146049,11,Undirected
1129242363006636032,12,Undirected
1129873478088155136,11,Undirected
1130320776656113664,10,Undirected
1130241251003908098,11,Undirected
1127703359346040832,12,Undirected
1127373123584577537,12,Undirected
1128775111429935104,10,Undirected
1129222250949775360,13,Undirected
1129683879227301888,12,Undirected
1129576760205463552,12,Undirected
1128242665210802176,11,Undirected
1130362877594890242,14,Undirected
1126967698817085440,14,Undirected
1128958834238615552,12,Undirected
1129139037711740928,14,Undirected
1130241013576900608,11,Undirected
1128568861744193536,10,Undirected
1129727918744264704,10,Undirected
1129648185146654722,12,Undirected
1129712507449294848,10,Undirected
1130330589364596737,13,Undirected
1129717019236954112,10,Undirected
1130301052044103680,12,Undirected
1129698931560943616,12,Undirected
1129595205986922496,10,Undirected
1127469995615670273,13,Undirected
1128824896874733568,10,Undirected
1129284214862434305,12,Undirected
1130332900136669184,10,Undirected
1130081274008285184,10,Undirected
1129680752809955328,12,Undirected
1129701984108290048,10,Undirected
1129154064334241792,10,Undirected
1127421402947055616,14,Undirected
1129866503388450816,12,Undirected
1128129704144228352,14,Undirected
1128877049798582272,12,Undirected
1128814820801753088,12,Undirected
1129710159842856960,11,Undirected
1127764694112948224,10,Undirected
1129758477793026054,13,Undirected
1129554389012688896,10,Undirected
1128430563067514880,11,Undirected
1128519491678347264,10,Undirected
1129216678510727169,10,Undirected
1129668848980901888,14,Undirected
1128930510674128896,12,Undirected
1129999157417074688,10,Undirected
1127504647504027648,11,Undirected
1127002387225268224,11,Undirected
1128409766835785729,11,Undirected
1129941325497884672,11,Undirected
1129727176796983296,10,Undirected
1127891355869409280,12,Undirected
1128535020325429254,13,Undirected
1128092638706450432,10,Undirected
1128752899620687872,12,Undirected
1127481541284614144,10,Undirected
1128619069102366720,14,Undirected
1129546834022506496,12,Undirected
1129566239590719488,10,Undirected
1127916579910373376,12,Undirected
1129744983932776454,10,Undirected
1126957680436715520,11,Undirected
1129835859467837440,10,Undirected
1128770285698600961,11,Undirected
1127867760023724033,12,Undirected
1128987061736812544,12,Undirected
1128953263775191040,13,Undirected
1127186116170240001,11,Undirected
1129151948760838145,10,Undirected
1129241402766835714,10,Undirected
1130015650930253826,12,Undirected
1127736263967035392,12,Undirected
1129502995098480640,12,Undirected
1127355846600474624,11,Undirected
1128916855026937861,11,Undirected
1129665749600022529,10,Undirected
1128883632683212801,10,Undirected
1129691170391486465,12,Undirected
1128854152191201281,11,Undirected
1129526581313978368,14,Undirected
1127312864060907520,11,Undirected
1130332839931666433,14,Undirected
1130247409613754368,14,Undirected
1129743160316432386,10,Undirected
1127059952428732416,11,Undirected
1129688274799226880,11,Undirected
1127080183075237889,12,Undirected
1129711088574926850,10,Undirected
1129218526999220224,10,Undirected
1126987342047113216,13,Undirected
1130039892912644096,11,Undirected
1128919300838895616,12,Undirected
1128783617692524545,12,Undirected
1129275870370258944,12,Undirected
1129306284061106176,13,Undirected
1129401904788697088,14,Undirected
1127475338622062594,10,Undirected
1127400257535348737,13,Undirected
1129701920644317184,10,Undirected
1127860414488821761,12,Undirected
1128586949743132672,10,Undirected
1128528853561774080,11,Undirected
1130335616762298368,14,Undirected
1127004456283807744,12,Undirected
1128961885917683712,14,Undirected
1129743163067908097,10,Undirected
1128960293994881025,12,Undirected
1129895444908109825,10,Undirected
1129704068648058881,12,Undirected
1129583215449034752,11,Undirected
1129149577632681984,10,Undirected
1129742772355960833,10,Undirected
1129726330772348930,14,Undirected
1129685794858315781,13,Undirected
1128203081106186240,10,Undirected
1127089741596200960,11,Undirected
1129910566829453313,10,Undirected
1127500173997821954,13,Undirected
1129808728750940160,11,Undirected
1129498464868429824,12,Undirected
1128932696938336257,12,Undirected
