Source,Target,Type
1127377941363449856,10,Undirected
1129717593739108352,11,Undirected
1129692529543110658,12,Undirected
1129875640079929344,10,Undirected
1129568124959780865,14,Undirected
1130032922168352769,10,Undirected
1129682896246124546,14,Undirected
1129692335447597056,14,Undirected
1130387096714207232,14,Undirected
1129599891632582657,14,Undirected
1129493545302126592,10,Undirected
1129666441588891648,12,Undirected
1127716348736331776,12,Undirected
1129752162823823361,11,Undirected
1129519223217065984,14,Undirected
1130268960379695104,10,Undirected
1129711415781019648,11,Undirected
1128762106835116032,11,Undirected
1129529788580782081,11,Undirected
1129722300641603585,13,Undirected
1129748433428996102,14,Undirected
1128873370714435585,12,Undirected
1129525756130779136,10,Undirected
1129695573366284288,10,Undirected
1129707404059238400,11,Undirected
1127440597642399745,13,Undirected
1129773901708505093,13,Undirected
1128416835467001856,11,Undirected
1128975983766196225,10,Undirected
1129768690214477824,11,Undirected
1129640097219932161,14,Undirected
1130325298241609728,14,Undirected
1130258522183163904,12,Undirected
1129804233513918470,11,Undirected
1130097604233007105,10,Undirected
1129305853503320064,12,Undirected
1127907159545507840,10,Undirected
1127788554728329216,11,Undirected
1130313982500192256,11,Undirected
1129702707650895873,14,Undirected
1129568202764238848,10,Undirected
1127011830793027584,12,Undirected
1129724083619414024,10,Undirected
1127452390364307456,12,Undirected
1129718677153017856,14,Undirected
1127212104950222848,10,Undirected
1129727551000260608,12,Undirected
1129738941354184705,11,Undirected
1128864125830828032,11,Undirected
1130278132789866496,11,Undirected
1129538703099961344,13,Undirected
1127387822313299968,10,Undirected
1128908419434405888,12,Undirected
1127332669900017666,11,Undirected
1128872474521640960,12,Undirected
1129609969857228800,11,Undirected
1128553942881718272,11,Undirected
1127382736841265153,11,Undirected
1129601262285131776,11,Undirected
1129698061280669696,11,Undirected
1127443129198469120,12,Undirected
1128971064921296898,10,Undirected
1129871560129548294,10,Undirected
1129323292278394882,13,Undirected
1128046061598068736,12,Undirected
1129691441217777664,13,Undirected
1128132584402079744,12,Undirected
1129000275530829824,12,Undirected
1129742924252635138,11,Undirected
1127488287197749248,11,Undirected
1129621396852813824,12,Undirected
1127893009918353408,10,Undirected
1129560065889820673,10,Undirected
1129067746220576768,10,Undirected
1129951357291466753,13,Undirected
1129894724649644032,13,Undirected
1129248796272021504,14,Undirected
1128873118821306368,11,Undirected
1129537763810762752,10,Undirected
1129303376217247744,11,Undirected
1129743716032360450,10,Undirected
1129767273336590337,14,Undirected
1127770130459582464,11,Undirected
1128862385073090561,10,Undirected
1129899182154690560,11,Undirected
1129215015897055232,12,Undirected
1129315753344131072,14,Undirected
1127906154909069319,10,Undirected
1129863871768932352,12,Undirected
1130007757438967808,14,Undirected
1129706558399451136,10,Undirected
1129546120806391808,12,Undirected
1128055604587536385,11,Undirected
1128159316601524225,10,Undirected
1129911734620188673,11,Undirected
1129712959058399234,10,Undirected
1128853868870230016,14,Undirected
1126950095964889089,10,Undirected
1128279695332483074,12,Undirected
1129896079036735489,10,Undirected
1128242904168665088,10,Undirected
1129724229677735936,11,Undirected
1129876017097596928,10,Undirected
1129030880372985856,10,Undirected
1129895668686868481,10,Undirected
1129557925029003264,12,Undirected
1128066442203525120,12,Undirected
1128971585753239552,10,Undirected
1129710709812543488,10,Undirected
1127817932895993857,12,Undirected
1129874570188451840,14,Undirected
1129170434463653888,10,Undirected
1129825355231981568,12,Undirected
1128858297316982786,11,Undirected
1129988026799656960,12,Undirected
1129707648956297216,12,Undirected
1129359129821077504,13,Undirected
1129769405628461056,12,Undirected
1128991903360458752,13,Undirected
1130396191269638145,12,Undirected
1128071623070773248,11,Undirected
1129959817622085633,14,Undirected
1129711222134149120,12,Undirected
1129844453898743808,14,Undirected
1129313794826440704,10,Undirected
1130337258698153985,10,Undirected
1129565228713140226,12,Undirected
1130015176491655168,10,Undirected
1128136623361744896,12,Undirected
1129179767947710464,12,Undirected
1128527139483996163,12,Undirected
1128912682545848320,11,Undirected
1127104433035235328,10,Undirected
1129271303934947328,11,Undirected
1129654503131607041,12,Undirected
1129546474738479105,10,Undirected
1129670981398671360,12,Undirected
1129011724324024320,10,Undirected
1127023289560231937,12,Undirected
1129660355641106432,12,Undirected
1128592507451764736,10,Undirected
1128218328260964354,12,Undirected
